ngram,size,n
spot rate convention,3,60
strike price,2,60
substantiation requirements,2,60
substituting calendar,2,60
tax return including extensions,4,60
term compensation,2,60
term stock,2,60
total amount paid,3,60
u.s connected liabilities,3,60
unaffiliated domestic owner,3,60
uncontrolled price,2,60
undistributed capital gains,3,60
uniformed services,2,60
1.6 1.6 1.6 1.6 1.6,5,59
2.7 2.7 2.7,3,59
3.1 2.9,2,59
6.9 6.9,2,59
7805 internal,2,59
7805 internal revenue,3,59
activities conducted,2,59
aggregate tax,2,59
amortizable bond premium,3,59
asset depreciation range,3,59
average annual gross,3,59
b's gross income,3,59
black lung,2,59
bond issuance,2,59
census tract,2,59
certified historic,2,59
certified pollution,2,59
certified pollution control,3,59
classification election,2,59
common paymaster,2,59
comparable profits,2,59
constructive sale price,3,59
corporate tax,2,59
corporation includes,2,59
cpeo applicant,2,59
deduction gain,2,59
depreciation range,2,59
determined solely,2,59
direct ownership,2,59
duplication transaction,2,59
electing public,2,59
electric energy,2,59
employee includes,2,59
employee's average,2,59
employees including,2,59
enterprise zone facility,3,59
entity classification election,3,59
equity structure,2,59
expenses allocable,2,59
experience rating,2,59
federal income taxes,3,59
financing transaction,2,59
foreign distributed,2,59
foreign distributed corporation,3,59
foreign expropriation loss,3,59
fr 15241,2,59
individual’s spouse,2,59
indoor tanning services,3,59
insurance company subject,3,59
internal revenue law,3,59
international water,2,59
investment unit,2,59
leased building,2,59
loan agreement,2,59
local housing credit,3,59
loss duplication transaction,3,59
losses sustained,2,59
minimum benefit,2,59
nonpublicly offered regulated investment company,5,59
offset level,2,59
partners capital accounts,3,59
person treated,2,59
plan pursuant,2,59
pre july 1986,3,59
previously included,2,59
properly allocated,2,59
protective statement,2,59
ptp income,2,59
qualified military,2,59
reasonable actuarial assumptions,3,59
recovery property,2,59
residuary estate,2,59
return determined,2,59
s2 stock,2,59
separate activities,2,59
separate application,2,59
single payment,2,59
t.d 8734,2,59
taxable distribution,2,59
terminated partnership,2,59
timely election,2,59
total allocable contract,3,59
total allocable contract costs,4,59
total fair,2,59
transferee plan,2,59
transferred shares,2,59
trust forming,2,59
u.s financial institution,3,59
u.s withholding agent,3,59
unemployment tax,2,59
uniform percentage,2,59
valid form,2,59
vesting schedule,2,59
1.0 0.8,2,58
1.0 0.8 0.7,3,58
1.7 1.5,2,58
1250 gain,2,58
1993 t.d,2,58
5.3 5.3 5.3,3,58
actively engaged,2,58
adjusted gross foreign,3,58
agency thereof,2,58
american employer,2,58
amount held,2,58
annuity benefit,2,58
applicable defined,2,58
appraisal summary,2,58
bargained plans,2,58
benefit amount,2,58
bls categories,2,58
care insurance contract,3,58
cash surrender,2,58
charitable trust,2,58
comparable profits method,3,58
consolidated net operating loss carryover,5,58
corporate shareholder,2,58
deductible expenses,2,58
deductions properly,2,58
deficit foreign corporation,3,58
determinable annual,2,58
determining foreign,2,58
disallowed bie carryforward,3,58
disallowed deductions,2,58
distilled spirits wines,3,58
dollar amount multiplied,3,58
domestic liquidating corporation,3,58
electing fund,2,58
emergency facility,2,58
employee b's,2,58
employee discount,2,58
employment status,2,58
enrollment period,2,58
excess profits tax,3,58
exchange agreement,2,58
exchange loss,2,58
farm net loss,3,58
federal employment,2,58
foreign partnerships,2,58
government official,2,58
governmental purpose,2,58
highway trust,2,58
highway trust fund,3,58
imported taxable,2,58
income deduction gain,3,58
issues bonds,2,58
item exception,2,58
law enforcement,2,58
life estates,2,58
lowest multiple,2,58
nonwithholding foreign partnership,3,58
opportunity zone property,3,58
partial disposition,2,58
partnership abc,2,58
payor receives,2,58
percent method,2,58
person acquiring,2,58
purpose expenditures,2,58
qualification requirements,2,58
qualified electing fund,3,58
qualified equity investment,3,58
qualified matching,2,58
qualified medical,2,58
qualified ptp,2,58
qualified ptp income,3,58
qualified subchapter,2,58
qualifying period,2,58
reasonable rate,2,58
recalcitrant account holders,3,58
relevant foreign,2,58
religious organization,2,58
replacement fund,2,58
report required,2,58
reporting statement,2,58
residency starting,2,58
restricted stock,2,58
sale occurs,2,58
separate form,2,58
shareholder's share,2,58
special trial judge,3,58
spirits wines,2,58
spouse's death,2,58
structure change,2,58
substantial change,2,58
substantial presence test,3,58
taxpayer chooses,2,58
taxpayer's spouse,2,58
tentative taxable income,3,58
term care insurance contract,4,58
terminal railroad corporation,3,58
tin combination,2,58
top paid,2,58
trade corporations,2,58
trade receivables,2,58
treaty country,2,58
treaty obligation,2,58
trial judge,2,58
unpaid balance,2,58
2.1 2.1 2.1 2.1 2.1,5,57
2.9 2.7,2,57
2011 split,2,57
2011 split taxes,3,57
3.9 3.9 3.9,3,57
abc partnership,2,57
activity expenditure,2,57
aggregate adjusted basis,3,57
applicable stock,2,57
asset method,2,57
banking financing,2,57
chief executive officer,3,57
civil penalty,2,57
comparable yield,2,57
compensable injury,2,57
consolidated partial,2,57
constructively received,2,57
continental shelf,2,57
contracts issued,2,57
cost recovery deduction,3,57
criminal penalties,2,57
deduction amounts,2,57
deduction method,2,57
designated distribution,2,57
designation agreement,2,57
disposed stock,2,57
dividend amount,2,57
domestic entity acquisitions,3,57
election relates,2,57
employee performs,2,57
entity acquisitions,2,57
evidence required,2,57
excess benefit percentage,3,57
expenditure property,2,57
export financing,2,57
foreign disposition,2,57
indirect stock transfer,3,57
individuals filing,2,57
irs records,2,57
l1 stock,2,57
money purchase,2,57
natural person,2,57
nondeductible expense,2,57
organizational expenses,2,57
participating ffis,2,57
partner's basis,2,57
passive activity expenditure,3,57
paying agent,2,57
pre 1970,2,57
pre 2011 split,3,57
pre 2011 split taxes,4,57
presidential election,2,57
prevailing party,2,57
private letter ruling,3,57
product line,2,57
progress expenditure property,3,57
property exceeds,2,57
property involved,2,57
qualified mortgage credit,3,57
qualified real estate,3,57
qualifying levy,2,57
reasonable addition,2,57
registration required,2,57
remaining amount,2,57
requirement applies,2,57
rollover contributions,2,57
sale tax,2,57
simplified deduction,2,57
simplified deduction method,3,57
sole beneficiary,2,57
straight life annuity commencing,4,57
tax accounting,2,57
tax preferences,2,57
total contributions,2,57
total fair market,3,57
trade corporation,2,57
transaction entered,2,57
transferred basis,2,57
transferred loss,2,57
trust agreement,2,57
trust estate,2,57
u.s payees,2,57
uncontrolled taxpayers,2,57
vacation pay,2,57
x's taxable income,3,57
0.75 percent factor,3,56
1.9 1.7,2,56
1201 gain,2,56
2006 plan,2,56
3.3 3.1,2,56
4.1 4.1 4.1 4.1,4,56
accrual method taxpayer,3,56
additional depreciation attributable,3,56
adequate security,2,56
alternative fuel,2,56
architectural services,2,56
arm's length consideration,3,56
arm's length transaction,3,56
benefit percentages,2,56
bond issuance premium,3,56
bonded wine,2,56
cfc1 cfc2,2,56
christian science practitioner,3,56
clinical testing expenses,3,56
common ownership,2,56
computer program,2,56
contract providing,2,56
contract purchased,2,56
covered entity's,2,56
d's gross,2,56
deemed sale tax,3,56
determining loss,2,56
disparity fraction,2,56
distribution requirement,2,56
dt acquisition,2,56
eighth monthly,2,56
eligibility requirements,2,56
entire term,2,56
estate gift,2,56
exempt purpose expenditures,3,56
faith interpretation,2,56
financial intermediary,2,56
fishing business,2,56
foreign distributee corporation,3,56
foreign governments,2,56
forward contracts,2,56
gross benefit,2,56
income 0,2,56
income averaging,2,56
income requirement,2,56
income tax principles,3,56
individual means,2,56
instructions issued,2,56
international operations,2,56
inventory costs,2,56
investment advice,2,56
irs employee,2,56
issuance premium,2,56
length consideration,2,56
lifo recapture,2,56
materially participates,2,56
nonpartnership items,2,56
nonroutine contributions,2,56
original federal income,3,56
original federal income tax,4,56
original federal income tax return,5,56
partnership profits,2,56
periods prior,2,56
person holds,2,56
plan fails,2,56
proposed deficiency,2,56
public approval,2,56
qualified campaign,2,56
qualified investment entity,3,56
qualified mortgage bond,3,56
qualifying amount,2,56
ratio method,2,56
reasonable alternative,2,56
reasonable manner,2,56
receive payments,2,56
redeemable ground,2,56
requirement set,2,56
retirement straight,2,56
science practitioner,2,56
security benefits,2,56
service employees,2,56
service providers,2,56
services cost method,3,56
shelter ratio,2,56
short party,2,56
shorter period,2,56
signing tax return preparer,4,56
social security benefits,3,56
specific property,2,56
stock including,2,56
storage tank,2,56
surtax exemption,2,56
tax shelter ratio,3,56
tested party,2,56
testing expenses,2,56
treatment limitation,2,56
u.s combined,2,56
u.s combined income,3,56
u.s government,2,56
unfunded liability,2,56
3.6 3.6,2,55
4.4 4.4 4.4,3,55
75.8 74.8,2,55
account net gain,3,55
advance refunding,2,55
allocation formula,2,55
amount credited,2,55
annual report,2,55
asset basis,2,55
base erosion tax benefit,4,55
based limitation,2,55
bequest devise,2,55
bond method,2,55
book entry,2,55
collectively bargained plans,3,55
compensation committee,2,55
compensation means,2,55
computed separately,2,55
construction proceeds,2,55
construction reserve,2,55
contributes property,2,55
corporation directly,2,55
corporation entitled,2,55
corporation's assets,2,55
corporation's gross,2,55
cost recovery amount,3,55
creditable foreign,2,55
current income beneficiary,3,55
deduction credit,2,55
deemed tangible,2,55
deemed tangible income,3,55
deemed transfer,2,55
deferred payment,2,55
disqualifying disposition,2,55
employers maintaining,2,55
erosion tax benefit,3,55
established market,2,55
estate tax attributable,3,55
exempt obligations,2,55
export trade corporation,3,55
filed including extensions,3,55
filed prior,2,55
fixed rate debt,3,55
foreign partners,2,55
form 5471,2,55
future payment,2,55
holding companies,2,55
hybrid benefit,2,55
hybrid benefit formula,3,55
income investment,2,55
income return,2,55
information including,2,55
intercompany items,2,55
irs office,2,55
loan offset,2,55
local governmental,2,55
matching taxable,2,55
nonrecourse financing,2,55
performance based,2,55
person pursuant,2,55
plan abc,2,55
plan requires,2,55
preexisting account,2,55
principal user,2,55
proceeds received,2,55
properties held,2,55
publications forms,2,55
publicly offered,2,55
qualified refinery,2,55
quarterly period,2,55
rate amount,2,55
recovery amount,2,55
recurring item exception,3,55
regional service,2,55
reimbursement arrangement,2,55
resale activities,2,55
retirement straight line,3,55
s's death,2,55
savings accounts,2,55
securities acquired,2,55
segment rates,2,55
startup day,2,55
statement setting,2,55
statutory hybrid benefit,3,55
statutory hybrid benefit formula,4,55
subsequent plan,2,55
substantial business,2,55
tangible income,2,55
tax exempt obligations,3,55
taxable investment,2,55
taxpayer disposes,2,55
taxpayer pays,2,55
taxpayer's federal,2,55
total amounts,2,55
unmarried individual,2,55
written plan,2,55
1.8 1.8 1.8 1.8 1.8,5,54
1.861 8t,2,54
1545 0723,2,54
1971 t.d,2,54
2.1 1.9,2,54
2.7 2.5,2,54
2.8 2.8 2.8 2.8 2.8,5,54
2007 plan,2,54
2010 plan,2,54
2017 taxable,2,54
2056a estate,2,54
2056a estate tax,3,54
3.0 3.0 3.0 3.0 3.0,5,54
3.0 4.0 5.0 6.0 7.0 8.0,6,54
4.0 5.0 6.0 7.0 8.0,5,54
5.0 6.0 7.0 8.0,4,54
5.7 5.7,2,54
6.0 7.0 8.0,3,54
6.5 6.5,2,54
7.0 8.0,2,54
acquires stock,2,54
adjusted gross foreign base,4,54
adjusted gross foreign base company,5,54
annual amount,2,54
annuity starting dates,3,54
applicable determination,2,54
applicable valuation,2,54
average amount,2,54
average annual gross receipts,4,54
basis rules,2,54
bridge bank,2,54
category gross income,3,54
common parent's,2,54
competent jurisdiction,2,54
corporate acquisitions,2,54
corporation purchases,2,54
corporation referred,2,54
covered security,2,54
credit rate,2,54
daily portion,2,54
ddr attributable,2,54
deemed received,2,54
deemed sale tax consequences,4,54
disability benefit,2,54
electronic form,2,54
"exceed 25,000",2,54
excepted benefits,2,54
excluded addition,2,54
excluded property,2,54
faith effort,2,54
foreign intermediary,2,54
formed corporation,2,54
government securities,2,54
hsa contributions,2,54
income therefrom,2,54
individual estate,2,54
initial tax,2,54
life table,2,54
limitation losses,2,54
limited ffi,2,54
lineal descendants,2,54
litigation costs,2,54
loss property,2,54
manufacture construction,2,54
natural deposit,2,54
noncapital nondeductible expense,3,54
noncollectively bargained,2,54
nondiscrimination rules,2,54
nonoperating mineral,2,54
nonrecently purchased,2,54
outbound loss,2,54
pay arrangement,2,54
payee statements,2,54
percent compounded semiannually,3,54
permanently set,2,54
person holding,2,54
person makes,2,54
personal effects,2,54
plan covering,2,54
plan loan offset,3,54
post 1989,2,54
post tax,2,54
pre 1983,2,54
predecessor employer,2,54
premiums received,2,54
prior revenue laws,3,54
product form,2,54
proper adjustments,2,54
qualified public,2,54
qualified replacement property,3,54
remainder factors,2,54
retroactive annuity,2,54
retroactive annuity starting,3,54
return preparer's,2,54
return reporting,2,54
sale tax consequences,3,54
share determined,2,54
shareholders surplus,2,54
starting dates,2,54
stock dividends,2,54
substantial contribution,2,54
succeeding plan,2,54
t.d 7238,2,54
tax return preparation,3,54
taxable investment income,3,54
taxpayer determines,2,54
taxpayer identity,2,54
taxpayer's taxable income,3,54
tier partnership's,2,54
transaction satisfies,2,54
transferee partner,2,54
vi examples,2,54
war loss,2,54
yearly average exchange rate,4,54
1.1 1.0,2,53
1.4 1.4 1.4 1.4 1.4 1.4,6,53
1.861 10t,2,53
1983 t.d,2,53
2.3 2.3 2.3 2.3 2.3,5,53
4529 june,2,53
5.0 5.0 5.0,3,53
74.8 73.8,2,53
academic period,2,53
accounting purposes,2,53
acquiring corporation's,2,53
acquisitions completed,2,53
actuarial equivalent,2,53
adjusted gross foreign base company income,6,53
allocable thereto,2,53
alternative standard,2,53
amount deemed,2,53
applicable stock price,3,53
applying paragraphs,2,53
assessable penalties,2,53
assistant commissioner international,3,53
attributable thereto,2,53
business purposes,2,53
carbon dioxide,2,53
carryover method,2,53
church tax inquiry,3,53
combined fund,2,53
commissioner international,2,53
company x's,2,53
constitutes foreign,2,53
construction reserve fund,3,53
contract research,2,53
corporation foreign,2,53
corporation issues,2,53
covered intangibles,2,53
covered services,2,53
depreciation table,2,53
divisional profit,2,53
due support,2,53
duly ordained,2,53
earnings attributable,2,53
education tax,2,53
education tax credit,3,53
eligible basis,2,53
employee's required,2,53
employer pursuant,2,53
enterprise zone facility bonds,4,53
equivalent exemption,2,53
experience study,2,53
federal unemployment tax,3,53
fees paid,2,53
file consolidated,2,53
filing requirement,2,53
foreign target,2,53
form 8804,2,53
fr 4529,2,53
fr 4529 june,3,53
funding improvement,2,53
gilti inclusion amount,3,53
gross assets,2,53
health savings account,3,53
income category,2,53
income taxable,2,53
influencing legislation,2,53
investment fund,2,53
liability company,2,53
liability partner,2,53
liberty zone,2,53
loss allocated,2,53
manufacturing process,2,53
marketable stock,2,53
maximum aggregate,2,53
monthly benefit,2,53
mortgage insurance,2,53
newly formed corporation,3,53
nonaccount balance,2,53
offered coverage,2,53
operating capacity,2,53
optional depreciation table,3,53
past due support,3,53
pays amounts,2,53
plan's funding,2,53
precontribution gain,2,53
prior income tax,3,53
qualified enhanced oil recovery project,5,53
refunding bond,2,53
regularly carried,2,53
reit dividends,2,53
replacement proceeds,2,53
reserve method,2,53
residual profit split,3,53
residual shared,2,53
review process,2,53
selling prices,2,53
separate contract,2,53
shareholders surplus account,3,53
sole outstanding,2,53
sole shareholder,2,53
specific economic,2,53
specific economic benefit,3,53
t.d 6296,2,53
tax base,2,53
tax income,2,53
tax inquiry,2,53
tax return preparer's,3,53
tax treaties,2,53
timely filed including,3,53
timely filed original,3,53
u.s trustee,2,53
undivided portion,2,53
unforeseeable emergency,2,53
variable hour,2,53
win employee,2,53
wine cellar,2,53
withholding allowance,2,53
york liberty,2,53
york liberty zone,3,53
zone facility bonds,3,53
1.1502 21t,2,52
1.3 1.3 1.3 1.3 1.3 1.3,6,52
1.861 14t,2,52
1976 t.d,2,52
2.3 2.1,2,52
3.2 3.2 3.2 3.2 3.2,5,52
accounts payable,2,52
accumulated effectively,2,52
accumulated effectively connected,3,52
accumulated effectively connected earnings,4,52
actual deferral,2,52
adequate consideration,2,52
american vessel,2,52
amount deducted,2,52
amounts referred,2,52
applicable administrative,2,52
balance plans,2,52
basic research,2,52
benefit based,2,52
capital contribution,2,52
compensation plans,2,52
component plan,2,52
consolidated partial licti,3,52
constitutes income,2,52
controlling organization,2,52
corporation m's,2,52
corporation pays,2,52
current beneficiary,2,52
dealer property,2,52
deductions directly,2,52
deemed payment,2,52
deemed tangible income return,4,52
disability benefits,2,52
disposition gain,2,52
disregarded payments,2,52
economic recovery,2,52
eighth monthly period,3,52
elapsed time,2,52
employees beneficiary,2,52
estimated total,2,52
excess charitable contributions,3,52
excess limitation,2,52
exploration expenditures paid,3,52
federal income tax principles,4,52
financing rate,2,52
foreign source passive,3,52
government sponsored,2,52
gross premiums,2,52
historic structure,2,52
home improvement,2,52
identical stock,2,52
include income,2,52
income items,2,52
indirectly owned,2,52
individual receives,2,52
information disclosed,2,52
information return required,3,52
information returns required,3,52
instructions applicable,2,52
insured health plan,3,52
lobbying activities,2,52
loss arose,2,52
miscellaneous itemized deductions,3,52
net insurance,2,52
nonqualified property,2,52
operations loss deduction,3,52
organization manager,2,52
outstanding share,2,52
parking lot,2,52
partial licti,2,52
passive limitation,2,52
performance goal,2,52
period monthly,2,52
period quarterly,2,52
person claiming,2,52
plan permits,2,52
private foundation's,2,52
projected income,2,52
property ceases,2,52
property situated,2,52
public safety,2,52
qualified cost sharing,3,52
qualified cost sharing arrangement,4,52
qualified opportunity zone property,4,52
qualified shareholder,2,52
rate applies,2,52
refund feature,2,52
regional commissioner,2,52
rehabilitation credit,2,52
retirement accounts,2,52
separate limitation losses,3,52
substantially nonvested,2,52
succeeding calendar,2,52
t.d 8965,2,52
tangible income return,3,52
tax advisor,2,52
tax book tax book,4,52
tax statement,2,52
taxpayer's family,2,52
taxpayer's household,2,52
taxpayer's total,2,52
term disqualified,2,52
thereunder apply,2,52
total deductions,2,52
transaction including,2,52
transfer agreement,2,52
trust precedes,2,52
u.s affiliate,2,52
valid withholding,2,52
volunteer fire,2,52
1.861 12t,2,51
"100,000 100,000",2,51
15241 nov,2,51
1545 0015,2,51
1964 t.d,2,51
1974 t.d,2,51
2001 t.d 8965,3,51
2005 plan,2,51
3.4 3.4 3.4 3.4 3.4,5,51
4.7 4.7 4.7,3,51
active duty,2,51
active service,2,51
affected ric,2,51
aggregate cost,2,51
aggregated trade,2,51
allocation methods,2,51
amount apportioned,2,51
annual depreciation rate,3,51
annual period semiannual,3,51
annual period semiannual period,4,51
annual period semiannual period quarterly,5,51
annual period semiannual period quarterly period,6,51
applicable income tax,3,51
applicable provision,2,51
average method,2,51
b's death,2,51
based benefit,2,51
based benefit formula,3,51
binding written,2,51
bona fide hedging,3,51
bond premium allocable,3,51
branch loss,2,51
branch separate,2,51
campaign expenses,2,51
certifying authority,2,51
cgs allocable,2,51
collateralized debt obligation,3,51
consistency requirement,2,51
control employee,2,51
covered employees,2,51
credit agencies,2,51
deemed election,2,51
defeasance escrow,2,51
distribution rules,2,51
domestic entity acquisitions completed,4,51
employer maintains,2,51
employer's business,2,51
entity acquisitions completed,3,51
excess parachute payment,3,51
fide hedging,2,51
foreign bank,2,51
foreign basis,2,51
foreign branch separate,3,51
foreign tax purposes,3,51
fr 15241 nov,3,51
gain means,2,51
governmental entity,2,51
harbor matching,2,51
health factor,2,51
including stock,2,51
income excluded,2,51
indirect acquisition,2,51
limited liability company,3,51
lookback period,2,51
lump sum based,3,51
lump sum based benefit,4,51
lump sum based benefit formula,5,51
minor children,2,51
netted partnership,2,51
netted partnership adjustment,3,51
original sale,2,51
partner's taxable,2,51
payment thereof,2,51
payments pursuant,2,51
percentage share,2,51
period monthly period,3,51
period quarterly period,3,51
period quarterly period monthly,4,51
period quarterly period monthly period,5,51
period semiannual,2,51
period semiannual period,3,51
period semiannual period quarterly,4,51
period semiannual period quarterly period,5,51
period semiannual period quarterly period monthly,6,51
person providing,2,51
persons treated,2,51
preexisting obligation,2,51
presumed adjusted funding target attainment,5,51
presumed adjusted funding target attainment percentage,6,51
proposed installment,2,51
public sale,2,51
qualified real estate investment,4,51
quarterly period monthly,3,51
quarterly period monthly period,4,51
refinery property,2,51
regional service center,3,51
rehabilitation plan,2,51
remaining recovery,2,51
remic regular,2,51
retirement window benefit,3,51
ric expenses,2,51
safe harbor matching,3,51
semiannual period quarterly,3,51
semiannual period quarterly period,4,51
semiannual period quarterly period monthly,5,51
semiannual period quarterly period monthly period,6,51
separate taxable income,3,51
shares outstanding,2,51
shopping center,2,51
specific legislation,2,51
stock deemed,2,51
sum based,2,51
sum based benefit,3,51
sum based benefit formula,4,51
t1 stock,2,51
tax depreciation,2,51
taxable gift,2,51
taxable gross,2,51
taxable gross weight,3,51
taxable reit,2,51
tefra partnership,2,51
timely filed including extensions,4,51
total basis,2,51
transferred pursuant,2,51
unrealized gain,2,51
unrelated corporation,2,51
unused foreign taxes,3,51
unusual circumstances,2,51
updated certificate,2,51
wage income,2,51
welfare benefits,2,51
withholding apply,2,51
workers compensation,2,51
1.469 5t,2,50
1969 t.d,2,50
1978 t.d,2,50
1988 t.d,2,50
2.7 2.7 2.7 2.7,4,50
74.7 73.7,2,50
75.8 74.8 73.8,3,50
affected ric expenses,3,50
alcohol tobacco,2,50
allowable percentage,2,50
amount reported,2,50
applicable statutory,2,50
applies separately,2,50
attributes attributable,2,50
bond debenture,2,50
bond means,2,50
cash equivalent,2,50
casualty loss,2,50
certified historic structure,3,50
chief judge,2,50
comparable participating employees,3,50
compliance period,2,50
considered property,2,50
corporation target,2,50
corrective action,2,50
costs remaining,2,50
credit union,2,50
debit card,2,50
debt instrument's,2,50
deemed issued,2,50
deferral percentage,2,50
deferral qbu,2,50
deferred oid,2,50
documentation requirements,2,50
eag partnership,2,50
elective contribution,2,50
employee's average annual,3,50
employer's employees,2,50
equal annual,2,50
"exceed 5,000",2,50
existing partnership,2,50
export trade corporations,3,50
fast pay arrangement,3,50
fc's proportionate,2,50
fc's proportionate share,3,50
federal executive,2,50
file timely,2,50
filed electronically,2,50
filed federal,2,50
fixed rate debt instrument,4,50
foreign tax resident,3,50
fourth taxable,2,50
fund established,2,50
funding shortfall,2,50
gain allocated,2,50
governmental authority,2,50
grocery store,2,50
hourly employees,2,50
income recognized,2,50
income withdrawn,2,50
initial contract,2,50
internal revenue service publication,4,50
internal revenue taxes,3,50
ira owner,2,50
lineal descendant,2,50
list request,2,50
lobbying communications,2,50
maximum coverage,2,50
maximum coverage period,3,50
native corporation,2,50
net asset,2,50
net insurance income,3,50
net unrecognized,2,50
nol carryover,2,50
nonforfeitable percentage,2,50
normal accrual,2,50
officer director,2,50
organizational expenditures,2,50
participant's accumulated,2,50
participant's accumulated benefit,3,50
partnership gross,2,50
passthrough entities,2,50
performing service,2,50
person transfers,2,50
portion attributable,2,50
professional employer,2,50
profits derived,2,50
qualified heir,2,50
qualified transportation fringe,3,50
rate base,2,50
reasonable alternative standard,3,50
reasonable interpretation,2,50
revenue service publication,3,50
revenue taxes,2,50
securities received,2,50
separate properties,2,50
service publication,2,50
services including,2,50
shortfall amortization installments,3,50
significant purpose,2,50
stock surrendered,2,50
substantial improvement,2,50
substantial service employees,3,50
tax jurisdiction,2,50
taxable transportation,2,50
term basis,2,50
term debt,2,50
term obligations,2,50
testing dates,2,50
total consideration,2,50
transitional additional,2,50
transitional additional allowance,3,50
trust means,2,50
u.s business,2,50
u.s return,2,50
u.s taxation,2,50
valuations applicable,2,50
variable annuity,2,50
1.861 11t,2,49
1.9 1.9 1.9 1.9 1.9 1.9,6,49
1954 t.d,2,49
1956 adjustment,2,49
1982 t.d,2,49
2.5 2.3,2,49
2012 t.d,2,49
2017 plan,2,49
3.1 2.9 2.7,3,49
3.9 3.9 3.9 3.9,4,49
5.3 5.3 5.3 5.3,4,49
6.1 6.1,2,49
6.9 6.9 6.9,3,49
69.9 68.9,2,49
7.4 7.4,2,49
ab partnership,2,49
account means,2,49
actual distributions,2,49
air conditioning,2,49
cash flows,2,49
certificate applies,2,49
certified pollution control facility,4,49
circumstances test,2,49
contact information,2,49
controlled corporations,2,49
corporation seeking,2,49
credit attributable,2,49
credit carryovers,2,49
deductions directly connected,3,49
deferred compensation plans,3,49
denomination currency,2,49
disqualified tax,2,49
disregarded entities,2,49
distribution means,2,49
distributions received,2,49
domestic source,2,49
earnings rate,2,49
employee's average annual compensation,4,49
estate trust,2,49
"exceed 50,000",2,49
expense incurred,2,49
external wall,2,49
federal taxes,2,49
foundation managers,2,49
hand carried,2,49
handling costs,2,49
income net capital,3,49
income property,2,49
income treated,2,49
individual coverage,2,49
insurance company's,2,49
investment expenditure,2,49
irrevocable election,2,49
license agreement,2,49
loss carried,2,49
loss carryforwards,2,49
loss pursuant,2,49
low income units,3,49
maximum offset,2,49
maximum offset allowance,3,49
minimum distributions,2,49
motor fuels,2,49
multipurpose issue,2,49
net basis,2,49
net income net,3,49
net unearned,2,49
net unearned income,3,49
noncommercial aviation,2,49
nonelective contribution,2,49
nonjudicial sale,2,49
nonprofit educational,2,49
oil gas,2,49
organization meets,2,49
parent organization,2,49
pay status,2,49
payroll periods,2,49
percent penalty,2,49
percent stock,2,49
permanent resident,2,49
plan's benefit,2,49
procedural requirements,2,49
prohibited payments,2,49
property treated,2,49
purchase stock,2,49
purposes including,2,49
qsb1 stock,2,49
qualified campaign expenses,3,49
qualified foreign corporation,3,49
qualified home,2,49
qualified home improvement,3,49
qualifying vessel,2,49
ratemaking purposes,2,49
reasonable diligence,2,49
remaining life,2,49
ruling amount,2,49
sale lease,2,49
secured debt,2,49
sells asset,2,49
separate election,2,49
service conditions,2,49
settlement trust,2,49
short term obligation,3,49
special deductions,2,49
stock ownership requirements,3,49
successor corporation,2,49
successor qbu,2,49
taxable income subject,3,49
taxed accumulated,2,49
taxpayer acquired,2,49
taxpayer properly,2,49
tiered extraordinary,2,49
timely filed federal,3,49
tipped employees,2,49
traded stock,2,49
unaffiliated dual,2,49
unaffiliated dual resident,3,49
unrelated individuals,2,49
upper tier cfc,3,49
utility company,2,49
valuable accrual,2,49
1.1502 91a,2,48
2018 t.d,2,48
66.0 65.0,2,48
68.8 67.8,2,48
8.9 8.9,2,48
account election,2,48
account information,2,48
accumulated earnings credit,3,48
activity credit,2,48
adequate disclosure,2,48
adjustment amount,2,48
aggregate production,2,48
amount claimed,2,48
annuity requirements,2,48
applicable forms,2,48
asset acquisitions,2,48
average adjusted basis,3,48
bank holding company,3,48
basis amount,2,48
bond proceeds,2,48
book capital,2,48
building property,2,48
capital gain net income net,5,48
cash equivalents,2,48
category foreign,2,48
certificate credit,2,48
certified public,2,48
compensation benefits,2,48
conservation expenditures,2,48
conservation purposes,2,48
consolidated capital,2,48
consolidated losses,2,48
constitute qualified,2,48
constructively paid,2,48
contingent payment debt,3,48
corporation meets,2,48
corporation status,2,48
corporation's qualified investments,3,48
coverage family,2,48
csa activity,2,48
currency swap contract,3,48
dc1 stock,2,48
deductible health,2,48
deductible health plan,3,48
deemed satisfaction,2,48
deferred vested retirement,3,48
dependent coverage,2,48
depletion deductions,2,48
disallowed losses,2,48
disqualified tax amount,3,48
domestic production,2,48
donor spouse,2,48
drug sales,2,48
earnings credit,2,48
economic recovery tax,3,48
eligible deferred,2,48
eligible deferred compensation,3,48
exchange facilitator,2,48
file separate returns,3,48
filing information,2,48
foreign trade income,3,48
fractional share,2,48
future payments,2,48
gain net income net,4,48
gross subpart,2,48
guaranteed investment,2,48
health insurance issuers,3,48
holds stock,2,48
home loan,2,48
hospital facility's,2,48
identification period,2,48
insurance issuers,2,48
issued prior,2,48
july 1986 investment,3,48
liability assumed,2,48
liability resulting,2,48
limitation earnings,2,48
limitations contained,2,48
line property,2,48
local agency,2,48
maximum credit,2,48
measuring life,2,48
monthly portion,2,48
net unrealized appreciation,3,48
nonparticipating ffis,2,48
operating costs,2,48
oversight board,2,48
owner occupied,2,48
participant's death,2,48
partner's capital,2,48
passive activity credit,3,48
payment debt,2,48
payment required,2,48
percent partner,2,48
permanent residence address,3,48
plan includes,2,48
